CUSTOMERID,SANumber,isActive,AMB
I-1890535,OLSAL2496,1,7364
I-5645891,OLSAL2577,1,5796
I-2060273,BRSAL4438,1,24618
I-6169001,OLSAL4886,0,3478
I-1733019,BRSAL1796,1,35112
I-5642984,BRSAL3468,1,59900
I-7702453,OLSAL8584,1,9539
I-2321135,BRSAL9490,1,92663
I-4231397,OLSAL3239,1,707
I-4201139,OLSAL7592,1,1103
I-3074679,OLSAL4186,1,9391
I-9964234,OLSAL1208,0,3254
I-9149904,OLSAL7281,1,4641
I-6633623,OLSAL1549,1,4312
I-2637269,OLSAL9825,1,731
I-7088248,BRSAL1186,1,34045
I-2486771,BRSAL5823,1,42687
I-8875604,BRSAL7706,1,11103
I-2671301,BRSAL2552,1,76210
I-1938698,OLSAL7599,1,2895
I-4300925,BRSAL3385,1,75939
I-6146205,OLSAL8193,1,2856
I-5950512,OLSAL3523,1,4192
I-6677199,OLSAL6003,1,8925
I-8155463,OLSAL4327,1,4682
I-2187347,OLSAL4329,1,6588
I-4326450,OLSAL2034,1,1622
I-5458019,OLSAL5557,1,617
I-6216934,BRSAL9905,1,41523
I-1494934,BRSAL2354,1,29404
I-1914758,OLSAL7995,1,7950
I-2033340,BRSAL6305,1,29894
I-4174420,OLSAL4226,1,2980
I-7136698,OLSAL1890,1,8062
I-3782767,BRSAL5279,1,67810
I-4856108,BRSAL9345,1,28864
I-1821515,OLSAL6804,1,6346
I-4026060,OLSAL6091,1,9669
I-6787794,BRSAL3342,1,11888
I-1490567,BRSAL5290,1,32153
I-9673554,BRSAL6039,1,71986
I-9880488,BRSAL5209,1,74167
I-1231053,OLSAL2382,1,7237
I-7576929,OLSAL2475,1,3019
I-1408369,OLSAL8812,1,425
I-4770606,BRSAL5686,1,41947
I-7214644,BRSAL3114,1,19497
I-3672570,OLSAL4142,1,2140
I-6625561,OLSAL6350,1,9982
I-1352881,OLSAL6469,1,1569
I-1537233,OLSAL2363,1,2285
I-3538669,BRSAL2759,1,12299
I-4157601,BRSAL6642,1,60817
I-8123100,OLSAL8945,1,6515
I-4092661,OLSAL2557,1,8496
I-2769225,OLSAL9871,1,9960
I-9489750,BRSAL6372,1,33705
I-2474244,OLSAL1614,0,4040
I-7423949,OLSAL1826,1,5499
I-1843578,OLSAL3933,1,1785
I-6350919,BRSAL6236,1,81029
I-6021335,BRSAL7983,1,85730
I-1173059,BRSAL8341,1,66623
I-8236588,BRSAL9788,1,80086
I-4078473,OLSAL9491,1,9483
I-8656871,BRSAL1630,1,58162
I-2602176,OLSAL7487,1,413
I-3475776,BRSAL1837,1,45987
I-1342715,OLSAL6729,1,4632
I-9413826,BRSAL4591,1,79706
I-2164662,OLSAL3011,1,4746
I-8638767,OLSAL9221,1,2373
I-1190589,BRSAL4935,1,17995
I-7768847,OLSAL4769,1,371
I-6056462,OLSAL1568,1,6449
I-5329141,BRSAL6013,1,96623
I-4733115,BRSAL8919,1,54757
I-3371688,BRSAL6406,1,20557
I-9152915,OLSAL6831,0,8427
I-7715285,BRSAL1572,1,32804
I-1456834,OLSAL6890,1,9810
I-2376020,BRSAL1468,1,33186
I-2497842,OLSAL4069,0,8507
I-8329038,BRSAL1841,1,9482
I-4151433,BRSAL7831,1,13404
I-9411012,OLSAL1772,0,601
I-4121092,BRSAL8681,1,60004
I-7493059,BRSAL8192,1,5984
I-3708236,OLSAL8028,1,1578
I-8129226,BRSAL7506,1,27690
I-8436001,OLSAL5564,1,844
I-7004707,OLSAL6589,1,8071
I-2853271,BRSAL9068,0,77535
I-9952744,OLSAL7745,1,201
I-2542767,OLSAL2365,1,1308
I-3599071,BRSAL7476,1,38883
I-6790667,OLSAL6293,1,1611
I-9458758,OLSAL3499,1,9393
I-9002277,BRSAL2536,1,61709
I-2731870,BRSAL6058,1,43212
I-5577486,BRSAL1225,1,41367
I-1624419,OLSAL4107,1,219
I-5115281,BRSAL9648,1,47966
I-1880502,BRSAL3261,1,82642
I-9605243,OLSAL5637,1,963
I-6696215,BRSAL6566,1,90469
I-5445188,OLSAL7526,1,9095
I-8193665,OLSAL4843,1,9878
I-4779849,BRSAL4213,1,55031
I-4765713,OLSAL8137,1,9987
I-7368727,OLSAL5858,1,9934
I-5916976,OLSAL5120,1,5187
I-4680266,OLSAL1909,1,6089
I-2510359,BRSAL6838,1,70649
I-3753176,BRSAL6830,1,43813
I-5763161,BRSAL2941,1,56054
I-7915663,OLSAL7660,1,5163
I-4276461,OLSAL6513,1,2756
I-8247102,OLSAL8294,1,5033
I-4037498,OLSAL5492,1,541
I-4498450,BRSAL4155,1,8586
I-2836361,BRSAL2632,1,56306
I-8144240,OLSAL5359,1,7135
I-9933469,BRSAL3220,1,5342
I-9732611,BRSAL2317,1,52442
I-2777530,BRSAL1577,1,90901
I-7982321,BRSAL5884,1,92948
I-7494737,BRSAL2247,1,81143
I-8984820,BRSAL4276,1,50202
I-2569338,BRSAL6818,1,24771
I-6890971,BRSAL8322,1,41142
I-3207759,BRSAL4714,1,90804
I-4126874,BRSAL5504,1,14391
I-8294573,BRSAL2496,1,88148
I-8420970,OLSAL5872,1,318
I-1415774,OLSAL8298,1,4536
I-1468530,OLSAL6916,1,1966
I-9219884,BRSAL4604,1,89443
I-2231836,BRSAL8883,1,46540
I-1130169,OLSAL4912,1,1242
I-9005500,OLSAL6374,1,757
I-7353315,OLSAL6961,1,4616
I-5008913,BRSAL5319,1,66716
I-7201022,BRSAL7720,1,28776
I-1239916,BRSAL2874,1,32738
I-6334651,OLSAL8145,1,1954
I-3921172,OLSAL7192,1,7117
I-7004777,BRSAL3440,1,19353
I-8569761,BRSAL8619,1,58818
I-1555181,OLSAL5673,1,3261
I-9707394,BRSAL1227,1,23817
I-3220577,OLSAL7863,1,6719
I-7997212,BRSAL3768,1,55639
I-6971585,BRSAL5407,1,40417
I-5069905,OLSAL7263,1,2601
I-4739615,OLSAL7783,1,3998
I-6836992,BRSAL9538,1,92830
I-3550378,OLSAL1271,1,2635
I-3478218,BRSAL5842,1,93362
I-9517976,OLSAL3015,1,2814
I-7186895,BRSAL8044,1,55109
I-2076600,BRSAL6906,1,23584
I-9615780,BRSAL5173,1,5262
I-6080221,BRSAL3143,1,42471
I-2340019,OLSAL7266,1,2533
I-1242332,BRSAL4026,1,80891
I-6474086,OLSAL5889,0,9177
I-9107309,BRSAL3431,1,14713
I-9169662,OLSAL7126,1,508
I-6335344,OLSAL1654,1,7870
I-4224381,OLSAL7905,1,4662
I-3607177,OLSAL5162,1,5583
I-7167927,OLSAL5286,1,6787
I-6254062,OLSAL6643,1,1777
I-5281596,OLSAL9184,1,1479
I-1314552,OLSAL3451,1,8319
I-5562385,OLSAL3836,0,1014
I-3071753,BRSAL6635,1,74841
I-2650194,OLSAL6230,1,7539
I-3449955,BRSAL3854,1,67510
I-2690533,OLSAL7035,1,4406
I-9475108,OLSAL3020,1,8054
I-7958233,OLSAL6391,0,1029
I-3383120,BRSAL8390,1,45288
I-3763799,OLSAL7259,1,8289
I-1287260,BRSAL9651,1,83543
I-8423042,BRSAL8981,1,42817
I-6645707,BRSAL9668,1,48973
I-4684622,OLSAL2349,1,5772
I-8234278,BRSAL2016,1,96379
I-4220783,BRSAL8032,1,70168
I-5288345,OLSAL8032,1,6210
I-7514941,BRSAL6381,1,66460
I-8532103,BRSAL6575,1,52196
I-4079608,BRSAL1991,1,53033
I-9556643,BRSAL1083,1,8566
I-5749955,OLSAL5783,1,8961
I-3934868,BRSAL3274,1,45749
I-7513030,BRSAL1533,1,90482
I-3210985,BRSAL9815,1,56400
I-9167563,OLSAL3303,1,4757
I-4467953,BRSAL9165,1,7601
I-9047295,BRSAL7811,1,81966
I-3237662,OLSAL7889,1,2194
I-4606008,OLSAL2228,1,6763
I-6408838,BRSAL7226,1,11265
I-2971194,BRSAL9642,1,30962
I-9266090,BRSAL3716,1,34976
I-4713668,BRSAL4574,1,88423
I-3420356,BRSAL8470,1,99082
I-3028577,OLSAL6074,1,4498
I-2011286,BRSAL1337,1,79053
I-5213164,OLSAL5214,1,323
I-1577098,OLSAL4908,1,369
I-9945187,OLSAL1697,1,2526
I-8990926,OLSAL7052,1,5600
I-8499614,BRSAL3806,1,70277
I-5035975,BRSAL4986,1,28258
I-9180266,OLSAL8546,1,7698
I-7641920,OLSAL6966,1,1664
I-7613804,BRSAL8494,1,38702
I-4118663,OLSAL8278,1,2550
I-7306827,BRSAL8970,1,19264
I-5135769,BRSAL2495,1,44258
I-4039505,OLSAL4195,1,339
I-6043035,BRSAL1582,1,31845
I-9458285,BRSAL2819,1,63147
I-1611282,BRSAL8350,1,13450
I-7234170,OLSAL6038,1,2314
I-6821578,OLSAL7099,1,2843
I-1238559,BRSAL5998,1,23283
I-6053070,OLSAL6419,1,5815
I-3876616,BRSAL8787,1,56127
I-2255901,BRSAL4320,1,97699
I-6642695,OLSAL6010,1,4999
I-6610288,BRSAL8507,1,95343
I-8016328,BRSAL9363,1,92709
I-3016531,OLSAL2860,1,7740
I-9237884,OLSAL4407,1,1898
I-2476866,BRSAL9760,1,88761
I-8505864,BRSAL1025,1,37989
I-6476831,BRSAL5960,1,69811
I-1438204,OLSAL7399,1,8822
I-4459065,BRSAL3747,1,24604
I-4061757,OLSAL4796,1,1206
I-5605382,BRSAL4296,1,9490
I-5844730,BRSAL3170,1,7921
I-4236258,OLSAL6297,1,2970
I-9315165,BRSAL7423,1,40353
I-9224564,BRSAL6419,1,87436
I-7755061,OLSAL4592,1,264
I-5330152,BRSAL7149,1,89307
I-1814100,OLSAL1833,1,4446
I-5508854,OLSAL6203,1,6917
I-6050311,OLSAL2816,1,2624
I-6344084,OLSAL9863,1,3251
I-2215421,OLSAL8483,1,740
I-8376228,OLSAL1717,1,1250
I-4312780,OLSAL7879,1,7377
I-5409557,BRSAL1838,1,50432
I-4442059,BRSAL5075,1,16153
I-3221684,BRSAL2516,1,78274
I-7334775,BRSAL2965,1,14178
I-7928206,OLSAL8888,1,816
I-1496878,OLSAL6358,1,6948
I-4175380,BRSAL1366,1,91354
I-9285663,OLSAL8558,1,3353
I-8222922,OLSAL1424,1,5788
I-6000296,BRSAL7880,0,67848
I-3710775,BRSAL2027,1,30702
I-7833113,OLSAL2258,1,5174
I-2202104,OLSAL2750,1,4640
I-6660711,BRSAL8589,1,90895
I-7492012,OLSAL3296,1,4712
I-8684475,BRSAL2812,1,58853
I-8464233,OLSAL9039,1,3498
I-3573199,OLSAL1031,1,8863
I-3180991,OLSAL2063,1,7185
I-2338851,BRSAL9904,1,50700
I-3053154,OLSAL8486,1,5229
I-7425457,BRSAL6056,1,85437
I-1842584,OLSAL4182,1,1600
I-4290377,BRSAL2976,1,64462
I-9416861,OLSAL4756,1,3681
I-6888925,BRSAL3988,1,59921
I-6993348,BRSAL6384,1,89149
I-6316090,OLSAL2005,1,4478
I-1604779,OLSAL9925,1,4002
I-6233897,OLSAL9670,1,4800
I-3104868,OLSAL1729,1,4681
I-8413993,BRSAL5861,1,94286
I-4259753,BRSAL5128,1,97648
I-4244391,BRSAL7202,1,64274
I-4148535,OLSAL9592,1,5846
I-8328141,BRSAL7092,1,41266
I-3880113,BRSAL8252,1,21010
I-9780971,OLSAL3847,1,2472
I-5284339,OLSAL6389,1,672
I-8634145,BRSAL9777,1,52088
I-5938080,BRSAL3151,1,47109
I-7206740,BRSAL5910,1,90269
I-1733235,BRSAL3209,1,49054
I-3015951,BRSAL1118,1,52717
I-9497428,BRSAL7978,0,36259
I-2606638,OLSAL1823,1,1558
I-3308590,BRSAL3328,1,63927
I-6356124,BRSAL7753,1,84093
I-8470113,OLSAL6474,1,2193
I-8318668,BRSAL7755,1,39845
I-7089383,BRSAL7961,1,66321
I-9104313,BRSAL5697,1,81328
I-2491630,BRSAL6192,1,9921
I-3486129,BRSAL9347,1,7128
I-8588801,BRSAL4757,1,98047
I-3290148,BRSAL8908,1,13809
I-8481232,BRSAL2619,1,67461
I-8752295,OLSAL8540,1,3869
I-4462099,OLSAL2563,1,2009
I-8124389,OLSAL2961,1,9509
I-7469093,OLSAL4582,1,378
I-8767330,BRSAL8532,1,18818
I-9616091,OLSAL3198,1,718
I-2005710,BRSAL3538,1,49787
I-6765130,OLSAL6351,1,3777
I-5266698,OLSAL6982,1,7318
I-8604837,BRSAL3471,1,74479
I-4495891,OLSAL4531,1,6566
I-3571210,BRSAL7039,1,95515
I-7952476,BRSAL6886,1,16182
I-8662151,BRSAL2868,1,12711
I-3800083,BRSAL4803,1,49843
I-4000594,BRSAL6968,1,22509
I-7258269,OLSAL2664,1,9257
I-3102157,BRSAL8300,1,93021
I-9944113,BRSAL7028,1,85424
I-1160136,OLSAL7474,1,2884
I-6067902,BRSAL6877,1,69163
I-7188653,BRSAL3872,1,13987
I-1503684,BRSAL7237,1,75097
I-4491072,BRSAL2139,1,26924
I-7648281,BRSAL8944,1,27628
I-2762855,BRSAL7610,1,63159
I-7551429,OLSAL4139,1,1015
I-3101050,OLSAL6450,1,2591
I-2927210,BRSAL6326,1,25567
I-1738732,OLSAL1831,1,5118
I-2084159,OLSAL4832,1,7986
I-5498878,BRSAL1270,1,92778
I-7618362,BRSAL2677,1,66730
I-5342253,BRSAL1123,1,72181
I-9992924,BRSAL2041,1,77188
I-4929413,BRSAL5798,1,53749
I-8588686,BRSAL6738,1,70742
I-6428207,OLSAL8379,1,1315
I-5448527,OLSAL3680,0,4378
I-3121041,BRSAL9335,1,87726
I-3570045,BRSAL9541,1,30901
I-1662262,BRSAL9338,1,56054
I-7729656,BRSAL6006,1,94230
I-9876556,BRSAL3496,1,82702
I-2516438,OLSAL1739,1,4351
I-1747628,BRSAL1863,1,32797
I-9388672,BRSAL6775,1,42448
I-3583112,OLSAL5507,1,5746
I-6556767,BRSAL3116,1,99542
I-6682768,OLSAL8873,1,8171
I-1126689,OLSAL1534,1,6758
I-2430459,OLSAL3781,1,9791
I-7772338,OLSAL2045,1,2567
I-1643744,BRSAL9188,1,45700
I-8177039,BRSAL3817,1,92854
I-2772693,BRSAL3949,1,30302
I-4307103,OLSAL8082,1,3975
I-5163082,BRSAL3607,1,46329
I-8613884,OLSAL9107,1,5549
I-3916598,BRSAL6069,1,6244
I-4001133,OLSAL5902,1,9618
I-7952033,OLSAL2499,1,6332
I-6347244,BRSAL5238,1,77204
I-8853834,OLSAL4541,1,9061
I-1826718,BRSAL6878,1,38442
I-6314026,OLSAL5050,1,101
I-4158912,BRSAL6004,1,34634
I-9915647,OLSAL6044,1,9914
I-1779668,BRSAL2259,1,40225
I-8957839,BRSAL7156,1,13829
I-3118447,BRSAL1852,1,43490
I-7248092,BRSAL4420,1,60216
I-4718806,BRSAL3218,1,54735
I-7094132,OLSAL3610,1,1418
I-8656697,BRSAL1794,1,96671
I-8764773,BRSAL4188,1,86488
I-6566611,OLSAL3643,1,9865
I-6260260,BRSAL7716,1,55915
I-8949819,OLSAL5410,1,2585
I-1131710,BRSAL2961,1,50298
I-3778750,BRSAL9531,1,71217
I-2850734,OLSAL7634,1,7761
I-6146459,OLSAL9920,1,3860
I-1235876,BRSAL3678,1,64361
I-3517300,BRSAL3885,1,72069
I-4428359,OLSAL8747,1,5396
I-9694717,BRSAL9041,1,12662
I-6265219,BRSAL6643,1,54791
I-9252085,BRSAL6178,1,98473
I-4259372,BRSAL7830,1,72826
I-4011264,BRSAL4361,1,54387
I-6368196,BRSAL3295,1,56584
I-4163890,BRSAL5592,1,40270
I-6107639,OLSAL2674,1,695
I-3520379,OLSAL8525,1,8124
I-7609339,BRSAL5390,1,84641
I-8433320,BRSAL5898,1,15404
I-2006575,BRSAL7235,1,88894
I-3431784,BRSAL2883,1,48496
I-1492778,BRSAL9113,1,59884
I-1919794,BRSAL7089,1,46186
I-1392777,BRSAL8307,1,83702
I-5135380,OLSAL4122,1,8074
I-5013952,OLSAL3336,1,3867
I-7162402,OLSAL2951,1,2760
I-9923384,OLSAL8937,1,4991
I-5125974,OLSAL2437,1,2829
I-4637126,OLSAL7907,1,335
I-6414591,OLSAL8843,0,2466
I-8590992,BRSAL1854,1,51456
I-2808776,BRSAL8280,1,89678
I-5242644,OLSAL2075,1,2373
I-3263560,BRSAL7474,1,75168
I-7710612,BRSAL6237,1,81470
I-4396399,OLSAL5984,0,8809
I-9789339,BRSAL5227,1,8181
I-3190023,BRSAL7272,1,50016
I-8224762,BRSAL4358,1,99141
I-6935849,BRSAL5516,1,65018
I-4332391,BRSAL6994,1,13255
I-4716279,BRSAL9337,1,20894
I-8071711,OLSAL1976,0,2344
I-3442460,BRSAL5668,1,7377
I-4095719,BRSAL9526,1,91050
I-6049148,OLSAL1994,1,6203
I-9086036,BRSAL6700,1,43522
I-2073992,OLSAL6937,1,7884
I-2545384,OLSAL7003,1,7786
I-3594783,BRSAL4119,1,39428
I-6223835,BRSAL5104,1,53057
I-7124846,BRSAL4340,1,52697
I-9124409,OLSAL8003,1,1664
I-8176645,BRSAL7244,1,85188
I-2688263,BRSAL5409,1,86443
I-5472156,OLSAL6990,1,8824
I-5360711,BRSAL8891,1,71537
I-6292136,BRSAL7112,1,45902
I-7070194,OLSAL7591,1,8348
I-9607369,OLSAL2958,1,4282
I-1623729,BRSAL3686,1,46195
I-3175817,BRSAL2271,1,64356
I-7396847,BRSAL6874,1,31304
I-8312275,BRSAL3470,1,75533
I-6260708,OLSAL5266,0,8187
I-4831520,BRSAL4154,1,72787
I-7420842,OLSAL1657,1,3798
I-8536000,OLSAL9955,1,3811
I-3177879,BRSAL9093,1,46274
I-6513928,OLSAL1559,1,4356
I-4834597,OLSAL9810,1,9780
I-4902739,OLSAL7465,1,9495
I-3163231,OLSAL8131,1,6203
I-2062159,OLSAL3551,1,1116
I-8132144,BRSAL7421,1,52495
I-2247861,OLSAL1927,1,6906
I-4748626,BRSAL7661,1,45331
I-9631488,BRSAL5211,1,51838
I-9172328,OLSAL1391,1,7544
I-6362624,OLSAL5551,1,417
I-2171629,OLSAL1139,1,6567
I-9780846,BRSAL7975,1,41802
I-4800201,OLSAL6863,1,6182
I-3666104,BRSAL9376,1,52584
I-4915625,BRSAL5330,1,24211
I-2464688,OLSAL6683,1,1049
I-2547369,OLSAL8453,1,3898
I-7610142,BRSAL2017,1,56946
I-4880724,OLSAL7011,1,210
I-4439578,OLSAL1344,1,653
I-2948003,OLSAL2138,1,5695
I-5875268,BRSAL6344,1,50453
I-4969756,BRSAL1548,1,56985
I-6112785,OLSAL2560,1,5909
I-9354636,BRSAL1410,1,26538
I-5696080,OLSAL3474,1,3290
I-6884690,BRSAL3938,1,47305
I-9611131,OLSAL7969,1,3068
I-2779417,BRSAL5936,1,11552
I-6603772,BRSAL4495,1,34933
I-4234629,BRSAL2604,1,51949
I-6833872,OLSAL5312,1,6944
I-5949474,BRSAL9218,1,51069
I-7328128,BRSAL9108,1,13547
I-3157204,BRSAL9092,1,13030
I-2675533,BRSAL6855,1,91223
I-6461682,BRSAL6302,1,12019
I-4412441,BRSAL6999,1,20285
I-8434964,OLSAL6279,1,9228
I-1348824,OLSAL8408,1,6677
I-7690006,BRSAL7866,1,47139
I-1716517,BRSAL2615,1,46892
I-5373736,BRSAL3600,1,60530
I-4727250,OLSAL8240,1,9908
I-1264038,BRSAL4212,1,59119
I-1752223,OLSAL7322,1,2892
I-6431106,OLSAL2819,1,9562
I-9900958,OLSAL5937,1,744
I-3238446,OLSAL3555,1,5632
I-7285461,OLSAL8542,1,1703
I-4706842,OLSAL7664,1,5008
I-5081777,OLSAL9336,1,2687
I-2411795,OLSAL3351,1,8821
I-7668299,OLSAL9596,1,8034
I-1942614,BRSAL3196,1,14776
I-7284849,BRSAL5284,1,6121
I-4225533,BRSAL9121,1,68173
I-9384859,BRSAL6959,1,71145
I-3892096,BRSAL5751,1,17401
I-2976475,OLSAL2715,1,9018
I-4658966,BRSAL9190,1,55261
I-2183324,OLSAL2828,1,2077
I-3962636,BRSAL6937,1,90737
I-8901246,OLSAL9521,1,8544
I-5747110,BRSAL5992,1,58130
I-7780967,BRSAL2034,1,53647
I-3956529,BRSAL2851,1,66052
I-4984667,BRSAL7929,1,60208
I-7860175,OLSAL1871,1,1597
I-1476045,OLSAL3070,1,464
I-5116955,OLSAL2015,1,1074
I-2552359,OLSAL1044,1,9537
I-5842239,BRSAL4794,1,5437
I-9840998,BRSAL8492,1,40253
I-1371474,BRSAL4567,1,72244
I-7252274,BRSAL9875,0,52386
I-7532047,OLSAL8457,1,3565
I-1419234,OLSAL8326,1,5602
I-1643323,BRSAL4484,0,56761
I-3214021,BRSAL7765,1,81175
I-1237923,OLSAL2891,1,305
I-3301676,BRSAL1920,1,26638
I-6137437,OLSAL2871,1,594
I-9847003,BRSAL8230,1,27840
I-7948519,OLSAL9091,1,5237
I-4282886,BRSAL3848,1,72010
I-8932814,OLSAL8991,1,1038
I-4803833,OLSAL9019,1,2081
I-7149362,OLSAL7279,1,3869
I-4303531,OLSAL4168,1,9175
I-7728328,BRSAL5578,1,49051
I-9803636,BRSAL9152,1,30790
I-4553089,BRSAL7253,1,14612
I-1840101,OLSAL8911,1,5141
I-9719691,BRSAL6512,1,65913
I-1467805,BRSAL8947,1,32673
I-6016403,BRSAL8433,1,43719
I-7623905,BRSAL2256,1,26164
I-4470393,BRSAL2909,1,20622
I-9262484,OLSAL2340,1,7517
I-1404519,BRSAL4403,1,86749
I-5795923,OLSAL9823,1,2712
I-9418007,OLSAL8421,1,8661
I-1709389,OLSAL4313,1,7600
I-5512343,BRSAL5982,1,68738
I-2265997,BRSAL7398,1,77476
I-4796278,OLSAL4173,1,1844
I-8636383,OLSAL4392,0,8858
I-2248452,BRSAL2660,1,37164
I-5995258,BRSAL2103,1,8555
I-6809854,BRSAL4201,1,61117
I-8399256,OLSAL2400,1,664
I-4954487,OLSAL1095,1,9266
I-8572942,OLSAL7159,1,8722
I-8493022,OLSAL1181,1,3463
I-8486799,BRSAL5140,1,40378
I-4214622,OLSAL1337,0,1546
I-1861015,BRSAL5437,1,34189
I-9044651,BRSAL4636,1,74855
I-1297549,BRSAL1428,1,68140
I-7834478,OLSAL8037,1,717
I-3357451,OLSAL8631,1,1536
I-9958921,OLSAL8162,1,8395
I-2745711,BRSAL8354,1,83018
I-1779253,BRSAL4850,1,38418
I-5200744,OLSAL3221,1,7085
I-8902215,BRSAL5753,1,5467
I-2071416,BRSAL1342,0,74662
I-4105740,BRSAL4093,1,59900
I-4374653,BRSAL7954,1,42103
I-3340549,BRSAL9840,1,41219
I-2812499,BRSAL8510,1,46078
I-8563689,BRSAL2538,1,74119
I-8386007,BRSAL9843,1,88494
I-8528948,OLSAL2638,1,1968
I-7834409,OLSAL4839,1,2012
I-8943684,BRSAL1426,1,91129
I-1674981,OLSAL2751,1,4111
I-4427698,BRSAL1955,1,55139
I-6191189,OLSAL5366,1,4919
I-8256780,OLSAL6580,1,7684
I-7503761,BRSAL7043,1,97096
I-3546431,OLSAL9924,1,3483
I-4744016,BRSAL7024,1,84141
I-8101792,BRSAL4980,1,7155
I-6184261,BRSAL6833,1,86884
I-3684325,BRSAL6417,1,78960
I-3204864,OLSAL8790,1,1634
I-7802489,BRSAL1465,1,87775
I-8055908,OLSAL8799,1,7512
I-2319636,BRSAL3965,1,65562
I-7147574,OLSAL3126,1,8367
I-6853122,BRSAL8638,1,48438
I-5127926,BRSAL4055,1,10925
I-7515285,OLSAL8042,1,5430
I-6161897,BRSAL7503,1,34750
I-7287437,BRSAL6156,1,47917
I-6397893,BRSAL8248,1,86729
I-4366887,BRSAL4538,1,31521
I-5798363,OLSAL9959,1,4512
I-2537788,BRSAL2970,0,36261
I-6896783,OLSAL2170,1,429
I-1853894,BRSAL1805,1,92955
I-6716714,BRSAL3092,1,32693
I-8949951,BRSAL3175,1,96171
I-8118590,OLSAL6614,1,3835
I-4087134,BRSAL9254,1,67110
I-1657680,OLSAL8657,1,3931
I-9214454,BRSAL1327,1,83988
I-1899482,BRSAL9921,1,14823
I-6037748,OLSAL7314,1,7211
I-2393069,OLSAL6376,1,713
I-5580235,OLSAL7531,1,6285
I-8382700,BRSAL8992,1,17709
I-2613489,OLSAL6386,1,7768
I-6268066,BRSAL8353,1,58197
I-3106010,BRSAL8285,1,6775
I-5984889,BRSAL2913,1,82768
I-8913959,OLSAL2421,1,644
I-3016338,OLSAL1401,1,4877
I-9107350,BRSAL4269,1,50811
I-4017515,BRSAL6219,1,73794
I-7893493,BRSAL9072,1,42115
I-6498327,OLSAL5231,1,2774
I-5473134,OLSAL2100,1,7101
I-3219469,BRSAL4965,1,91481
I-6042408,BRSAL7070,1,28652
I-7283002,BRSAL2063,1,5171
I-1932853,BRSAL8190,1,60159
I-7310131,BRSAL4691,1,60718
I-4785954,OLSAL3462,1,8652
I-3747622,OLSAL6167,1,8579
I-9135439,OLSAL9363,1,5063
I-5815851,BRSAL6518,1,36002
I-4953697,BRSAL7135,1,54169
I-9076710,OLSAL1725,1,4525
I-9390212,OLSAL7733,1,179
I-4224314,OLSAL8197,1,3314
I-2385037,OLSAL4649,1,1413
I-4676766,OLSAL7764,1,7778
I-7790062,OLSAL6738,1,6872
I-5540113,BRSAL9473,1,72682
I-1695665,OLSAL7570,1,6857
I-7094795,BRSAL3062,1,31335
I-7404364,BRSAL1148,1,90300
I-2196679,OLSAL6491,1,2918
I-3692222,BRSAL5874,1,77153
