BANKID,CUSTOMERID,PRODUCT,isActive,Gender,DOB,PINCODE,isFirst,Phone,OnboardingDate,DeactivationDate
A9739329156,A-8103127,A,1,M,2012-04-05,562934,1,9739329156,2016-05-26,
A9738807839,A-8338397,A,1,F,1961-12-07,716624,1,9738807839,1993-06-29,
A9736336729,A-7390701,A,1,M,1994-02-13,156940,1,9736336729,2011-01-07,
A9730625526,A-8589745,A,1,F,1986-07-18,905172,1,9730625526,1997-09-13,
A9720514681,A-5261996,A,0,M,2013-05-08,955874,1,9720514681,2016-11-21,2017-09-05
A9713612596,A-8459162,A,1,M,1971-02-22,141301,1,9713612596,2005-01-04,
A9709426089,A-6182231,A,1,F,1956-04-08,309598,1,9709426089,2005-10-10,
A9708592973,A-4247542,A,1,F,2021-12-16,254139,1,9708592973,2026-06-18,
A9708581164,A-3425299,A,1,M,2021-11-14,859518,1,9708581164,2026-07-27,
A9708581164,A-7796492,A,1,M,2021-11-14,675739,0,9708581164,2024-04-13,
A9708178442,A-5572825,A,1,F,1969-01-30,894504,1,9708178442,2002-12-19,
M9705281801,A-4359541,A,1,M,1991-04-21,292963,0,9705281801,1996-06-24,
A9705262267,A-5918992,A,1,M,2016-12-20,667190,1,9705262267,2019-07-07,
A9701354790,A-8111619,A,1,F,1969-09-11,733568,1,9701354790,1986-03-05,
A9699568067,A-8615091,A,1,M,1959-01-01,278868,1,9699568067,2007-01-30,
A9689018490,A-4708741,A,1,M,2006-04-16,670195,1,9689018490,2011-04-14,
A9687917371,A-3769713,A,1,M,1982-11-27,710007,1,9687917371,1990-07-24,
A9687136395,A-8351504,A,1,M,1978-12-21,636817,1,9687136395,1986-09-02,
A9686499527,A-1885164,A,1,F,1985-08-24,935860,1,9686499527,2001-03-01,
I9686496758,A-2527126,A,1,F,2000-11-07,850845,0,9686496758,2008-10-13,
A9686114540,A-1862602,A,1,M,1958-09-05,261298,1,9686114540,2002-03-04,
A9685338929,A-8529471,A,1,M,2018-09-03,396789,1,9685338929,2022-06-27,
A9682888877,A-6472932,A,1,F,1993-09-17,601345,1,9682888877,2022-06-09,
A9681706449,A-3848410,A,1,F,1954-03-07,212873,1,9681706449,2016-03-29,
A9681034829,A-8058569,A,1,M,2007-05-12,657412,1,9681034829,2008-12-07,
A9679327272,A-6192713,A,1,M,1952-05-05,558929,1,9679327272,1981-03-02,
A9665114539,A-2840679,A,1,F,1900-01-01,220802,1,9665114539,1982-06-18,
A9659893198,A-7699263,A,1,M,1959-02-27,467213,1,9659893198,1994-05-24,
A9657188765,A-7224496,A,1,F,2018-02-09,928882,1,9657188765,2023-02-23,
A9649547902,A-9023154,A,0,F,1999-08-05,287757,1,9649547902,2007-03-08,2008-12-17
A9646923668,A-4931400,A,1,M,2021-03-08,391759,1,9646923668,2023-05-24,
A9639124947,A-8102392,A,1,M,1964-04-05,805753,1,9639124947,2017-07-27,
A9636342989,A-3866232,A,1,M,1970-06-05,330610,1,9636342989,2015-04-03,
A9636136853,A-4667913,A,1,F,2002-03-29,858877,1,9636136853,2004-10-01,
A9634187530,A-2507136,A,1,F,1984-06-17,310998,1,9634187530,2014-11-05,
A9629145342,A-4514326,A,1,F,1992-01-02,759063,1,9629145342,2021-12-21,
B9621807407,A-5987809,A,1,M,1963-05-06,452525,0,9621807407,1981-11-25,
A9620733979,A-2279017,A,0,M,1900-01-01,129861,1,9620733979,2008-04-03,2009-02-17
M9617677283,A-4641658,A,1,M,2003-02-07,849779,0,9617677283,2005-02-12,
A9603349012,A-7041902,A,1,M,1990-09-21,861234,1,9603349012,2021-09-28,
A9600907805,A-4500620,A,1,M,1970-03-21,793106,1,9600907805,2017-09-15,
A9599684532,A-5562111,A,1,F,2015-06-06,459609,1,9599684532,2020-01-23,
P9598020806,A-3321806,A,1,F,1958-05-09,563053,0,9598020806,2015-05-04,
A9597729008,A-8099950,A,1,M,2013-07-19,652361,1,9597729008,2016-07-12,
G9594624935,A-2195016,A,1,M,1988-06-20,902677,0,9594624935,1991-06-15,
A9590802585,A-9453412,A,1,F,2016-07-28,727565,1,9590802585,2019-03-05,
A9590060029,A-1155621,A,1,M,1986-02-23,115172,1,9590060029,2015-10-14,
A9585275534,A-1696970,A,1,F,1959-10-28,932475,1,9585275534,2007-02-10,
A9581680778,A-5796314,A,1,M,2004-08-04,268735,1,9581680778,2006-08-20,
A9563511144,A-7802435,A,1,F,2013-03-01,725598,1,9563511144,2017-03-09,
A9563130213,A-4529465,A,1,F,1975-06-18,541363,1,9563130213,2013-03-16,
A9563130213,A-3059716,A,1,M,1975-06-18,468127,0,9563130213,1995-04-03,
A9556319942,A-9494333,A,1,M,1959-02-02,986097,1,9556319942,1997-01-14,
A9554873681,A-2800755,A,1,M,1972-09-13,461231,1,9554873681,1997-10-28,
A9552093892,A-8964733,A,1,F,1972-08-29,845549,1,9552093892,2014-11-30,
A9539370376,A-3693089,A,1,F,1997-06-10,188905,1,9539370376,2000-01-03,
A9537901692,A-4079277,A,1,M,1953-02-21,213495,1,9537901692,1997-08-20,
A9533853660,A-7435885,A,1,F,2006-01-23,116093,1,9533853660,2009-04-21,
A9531224816,A-3000107,A,1,F,1961-10-14,171818,1,9531224816,1981-01-19,
L9530347192,A-7076367,A,1,M,1972-07-16,847679,0,9530347192,2019-04-27,
A9528607879,A-4822973,A,1,M,2008-06-29,460410,1,9528607879,2010-01-21,
A9526605297,A-5399507,A,0,M,1980-07-02,340050,1,9526605297,1983-08-30,1984-08-31
A9517399541,A-2264794,A,1,F,1951-02-18,717376,1,9517399541,1993-08-04,
A9515640942,A-3642184,A,1,M,1991-10-11,819901,1,9515640942,1998-04-27,
B9514326764,A-5861829,A,1,F,1988-06-10,741938,0,9514326764,1993-11-07,
A9513183892,A-4128633,A,1,M,1993-02-01,953817,1,9513183892,1996-07-31,
A9505243379,A-8160723,A,1,F,1983-01-05,403932,1,9505243379,1995-03-07,
A9502444992,A-9038376,A,1,M,1990-09-01,833806,1,9502444992,2007-05-15,
A9499284569,A-6533473,A,1,F,1981-08-27,460648,1,9499284569,2019-04-02,
B9496862349,A-7962254,A,1,F,1959-12-26,544415,0,9496862349,1982-12-14,
A9495556028,A-7293766,A,1,M,2016-01-09,184950,1,9495556028,2018-09-08,
C9494130553,A-8084946,A,1,M,1995-03-01,340086,0,9494130553,1998-11-28,
A9493549766,A-5145082,A,0,F,1953-09-03,396231,1,9493549766,2012-11-04,2014-06-13
A9492746946,A-7343716,A,0,M,2008-01-06,633277,1,9492746946,2009-02-11,2009-06-19
A9487772998,A-3876958,A,1,M,1973-02-05,651415,1,9487772998,2001-08-03,
A9486724858,A-4828564,A,1,M,1971-01-23,128740,1,9486724858,1996-04-08,
A9484742078,A-1665402,A,1,M,1969-12-13,272031,1,9484742078,2002-06-02,
A9482169422,A-9353974,A,1,M,1986-05-04,578853,1,9482169422,2015-12-26,
A9476778909,A-8449440,A,1,M,1986-05-19,799496,1,9476778909,2001-02-04,
A9473654955,A-2520369,A,1,M,2010-09-22,477682,1,9473654955,2014-01-12,
A9471127881,A-4073967,A,1,M,2019-11-09,836049,1,9471127881,2024-01-11,
O9469580028,A-5946731,A,1,M,2011-08-13,401911,0,9469580028,2018-06-13,
A9469498318,A-9402674,A,1,M,1985-09-26,143611,1,9469498318,2001-02-27,
A9468254140,A-5672438,A,1,M,2015-05-09,267174,1,9468254140,2019-11-03,
A9468167673,A-3102607,A,1,F,1981-04-09,685820,1,9468167673,2016-10-26,
A9464659454,A-3760279,A,1,F,1951-04-03,974560,1,9464659454,1989-08-28,
A9464369387,A-8382486,A,0,M,1980-07-29,750963,1,9464369387,2006-05-31,2008-09-10
A9452000370,A-2298156,A,1,M,2003-11-09,125839,1,9452000370,2006-04-15,
A9446539298,A-9762771,A,1,M,2019-11-25,754402,1,9446539298,2021-12-13,
A9427108293,A-5156893,A,1,F,1961-09-17,470924,1,9427108293,2009-12-31,
A9423119215,A-3929008,A,1,M,2003-11-04,301857,1,9423119215,2006-11-27,
A9420472036,A-2705062,A,1,F,1952-01-29,194785,1,9420472036,1984-06-22,
A9420114273,A-1314917,A,1,F,2000-05-09,922159,1,9420114273,2012-06-23,
G9416294200,A-1462299,A,1,M,1970-11-06,740590,0,9416294200,1996-04-01,
A9411997107,A-9172220,A,1,F,1999-02-06,598266,1,9411997107,2004-02-24,
A9410241467,A-1694053,A,1,M,2005-01-24,237180,1,9410241467,2014-10-18,
A9408056869,A-4745225,A,0,F,1984-05-07,661113,1,9408056869,1987-03-16,1989-06-28
A9406110924,A-6100023,A,1,F,1951-03-27,455697,1,9406110924,1989-09-23,
A9405209307,A-3336437,A,0,M,2008-12-24,255451,1,9405209307,2011-03-25,2013-10-27
A9404270106,A-2166644,A,1,F,1952-03-28,854073,1,9404270106,2019-11-06,
E9402262846,A-4841891,A,1,F,1960-02-08,874338,0,9402262846,2013-04-28,
A9402067735,A-1308916,A,1,M,1984-04-13,624780,1,9402067735,2009-01-09,
A9400860867,A-4915601,A,0,F,2000-05-12,330069,1,9400860867,2010-04-28,2012-07-09
A9400437725,A-7728236,A,1,M,1992-11-20,741425,1,9400437725,1999-06-21,
A9384380828,A-8736947,A,1,M,1989-09-05,881771,1,9384380828,1993-06-04,
A9383858723,A-2278948,A,1,M,1976-10-26,524185,1,9383858723,1995-06-09,
A9383202722,A-9831788,A,1,F,1967-01-01,597709,1,9383202722,1993-04-11,
A9382127813,A-9524268,A,1,F,1968-01-16,556520,1,9382127813,2014-04-30,
A9379125772,A-5345712,A,1,M,1992-12-25,225779,1,9379125772,2000-06-10,
A9378407833,A-3905594,A,1,M,2020-07-22,487239,1,9378407833,2024-03-21,
A9377411151,A-4805951,A,1,M,1959-05-30,920671,1,9377411151,2019-01-10,
A9377411151,A-9253102,A,1,F,1959-05-30,600011,0,9377411151,1989-05-10,
A9374060277,A-3451082,A,1,F,1997-05-06,726867,1,9374060277,2015-05-08,
A9364801061,A-7370366,A,1,F,1950-10-02,299713,1,9364801061,2019-05-08,
A9355029121,A-8621135,A,1,M,1970-09-03,260466,1,9355029121,2014-05-09,
A9348734096,A-9363355,A,1,M,2002-10-14,777448,1,9348734096,2004-12-28,
A9348731695,A-4470532,A,1,M,1969-11-29,668751,1,9348731695,1980-05-04,
A9346810291,A-4895619,A,0,F,1975-09-06,936964,1,9346810291,1982-07-28,1983-03-09
A9346035084,A-1825926,A,1,F,1979-09-28,234850,1,9346035084,2005-08-14,
O9339988521,A-7068370,A,1,M,1961-10-03,165443,0,9339988521,2010-05-31,
A9334654344,A-3493235,A,1,F,1998-06-14,388523,1,9334654344,2003-10-05,
A9331868609,A-4001051,A,1,M,1979-04-25,541775,1,9331868609,2007-12-25,
G9329992581,A-1647223,A,0,M,1999-01-15,986416,0,9329992581,2020-08-18,2021-06-10
A9319239900,A-3561975,A,1,M,1967-08-30,536660,1,9319239900,2021-10-24,
A9316405018,A-9950164,A,1,F,1952-07-08,596993,1,9316405018,2009-10-03,
A9316286221,A-3042290,A,1,M,1993-12-28,870337,1,9316286221,1997-07-30,
A9309132719,A-1608728,A,1,M,1963-03-17,849375,1,9309132719,2017-12-14,
A9305783032,A-4335059,A,0,M,1960-12-15,406631,1,9305783032,2003-03-11,2004-09-17
A9304635298,A-3463768,A,1,M,2000-03-08,401615,1,9304635298,2001-03-08,
A9301098302,A-8545581,A,1,F,1988-03-22,833832,1,9301098302,1989-10-08,
A9298955644,A-3984160,A,1,M,1950-07-28,796077,1,9298955644,1992-11-19,
A9293579742,A-3707344,A,1,F,1900-01-01,962449,1,9293579742,2007-01-23,
A9290245353,A-7365601,A,1,M,1980-12-14,897557,1,9290245353,2018-09-01,
A9287742172,A-2875343,A,1,F,1990-09-27,168282,1,9287742172,2009-08-13,
A9277160109,A-4995949,A,1,F,1997-04-16,727987,1,9277160109,1999-05-20,
A9258605970,A-5811162,A,1,F,1975-07-25,719377,1,9258605970,2017-11-07,
A9254379223,A-1839542,A,1,F,1996-08-21,303159,1,9254379223,2007-04-19,
A9252662977,A-3653951,A,1,M,1987-02-12,257539,1,9252662977,2007-02-07,
A9246284567,A-9707290,A,1,F,1958-09-18,873672,1,9246284567,2013-12-02,
A9241260047,A-9449509,A,1,F,1967-06-13,446778,1,9241260047,1992-11-29,
G9238315942,A-7295783,A,0,M,2019-12-14,613136,0,9238315942,2020-06-05,2021-07-02
A9237611680,A-6178516,A,1,F,2004-09-04,953223,1,9237611680,2008-08-13,
P9213130128,A-6089637,A,1,M,1957-12-30,497318,0,9213130128,2000-11-24,
G9209298616,A-9998225,A,1,M,1973-01-18,157490,0,9209298616,1985-09-30,
A9208673135,A-9188406,A,1,F,2015-03-08,327271,1,9208673135,2018-01-21,
A9194996750,A-4357137,A,1,F,1966-10-10,734066,1,9194996750,2018-03-01,
A9194804950,A-1949318,A,1,M,2020-05-04,296156,1,9194804950,2021-09-11,
A9184976278,A-5316508,A,1,F,2003-12-23,997973,1,9184976278,2018-06-02,
A9182443668,A-7771222,A,1,M,1991-01-11,181595,1,9182443668,1998-01-28,
A9178590897,A-8540478,A,1,M,1963-05-24,748416,1,9178590897,1983-10-12,
A9169778214,A-7268681,A,1,F,1989-09-10,665282,1,9169778214,2012-11-11,
A9163828977,A-6037674,A,1,M,2016-02-06,431089,1,9163828977,2020-12-28,
A9159555955,A-2491784,A,1,M,1957-11-06,545441,1,9159555955,1988-12-16,
A9159555955,A-4884406,A,1,M,1957-11-06,186505,0,9159555955,1987-12-21,
A9157080111,A-8926064,A,1,M,1999-09-09,465223,1,9157080111,2016-12-23,
A9155894936,A-2497563,A,1,M,1982-03-18,554639,1,9155894936,1991-10-14,
A9149412916,A-7438430,A,1,M,1951-05-10,542358,1,9149412916,1999-07-03,
A9137548675,A-2869216,A,1,M,1956-03-10,606388,1,9137548675,2013-04-22,
A9130278266,A-2515875,A,1,M,1992-03-27,303213,1,9130278266,1996-05-16,
A9127488440,A-3139188,A,1,M,1989-01-08,600562,1,9127488440,1990-10-20,
A9120456410,A-6271538,A,1,M,1999-01-10,592290,1,9120456410,2004-02-02,
A9119226682,A-3963727,A,1,F,1968-12-17,684638,1,9119226682,1980-02-26,
A9115361745,A-3807988,A,1,M,1985-11-23,244266,1,9115361745,2003-12-03,
A9112075706,A-8509574,A,1,M,1956-10-14,765035,1,9112075706,2018-08-07,
A9097904207,A-6181877,A,1,F,1950-10-25,326645,1,9097904207,2003-04-23,
C9095034562,A-3399425,A,0,F,2014-02-02,489188,0,9095034562,2016-01-24,2017-09-15
A9089200574,A-6682506,A,1,M,2016-08-01,265117,1,9089200574,2017-11-02,
A9084882950,A-9526521,A,1,M,1975-11-07,462572,1,9084882950,1986-10-14,
A9081557151,A-1792330,A,1,F,2004-11-21,874943,1,9081557151,2006-08-13,
A9079297546,A-4605655,A,1,M,1996-05-01,936871,1,9079297546,1998-04-02,
A9077294149,A-9891948,A,1,M,1982-02-20,216241,1,9077294149,1998-11-26,
A9070800187,A-8694827,A,1,F,1972-02-27,868169,1,9070800187,2021-07-23,
A9062757057,A-1961126,A,1,F,1982-03-24,554812,1,9062757057,1990-12-11,
A9062392989,A-7226178,A,1,F,1950-03-01,745930,1,9062392989,2015-04-14,
A9061296452,A-1846640,A,1,F,1955-05-27,297132,1,9061296452,1989-03-06,
A9059070531,A-8786813,A,0,M,1961-03-07,646286,1,9059070531,1994-03-29,1994-12-19
A9054422260,A-1223167,A,1,M,1994-06-02,751223,1,9054422260,1997-04-06,
A9045417241,A-3591796,A,1,M,1974-01-30,892612,1,9045417241,1989-06-27,
A9045159615,A-7015975,A,1,F,2004-03-23,536408,1,9045159615,2021-12-21,
A9044060402,A-1190130,A,1,F,2001-12-15,143136,1,9044060402,2006-12-06,
A9041095002,A-5462302,A,1,F,1964-11-03,677132,1,9041095002,1982-03-02,
M9038594295,A-1151477,A,1,M,1970-01-16,522755,0,9038594295,2008-09-10,
A9034660640,A-6046130,A,1,F,1960-03-06,145213,1,9034660640,2015-03-07,
A9027125814,A-6831297,A,1,M,1980-11-14,333313,1,9027125814,1981-09-30,
A9024198233,A-8440113,A,1,M,2008-08-25,931264,1,9024198233,2012-08-05,
A9024198233,A-6569735,A,1,M,2008-08-25,805338,0,9024198233,2021-06-08,
A9018262452,A-2369413,A,1,M,1999-03-15,276109,1,9018262452,2003-03-03,
A9012722186,A-4868896,A,1,F,1991-01-24,778559,1,9012722186,1992-06-30,
A9010326939,A-9749083,A,1,F,1956-08-02,725034,1,9010326939,1993-10-11,
A9005718042,A-4341756,A,1,M,1983-03-14,172607,1,9005718042,1991-01-02,
A9004950465,A-3544862,A,1,M,1982-10-13,365215,1,9004950465,2012-10-29,
A9001993613,A-2430436,A,1,M,1951-03-06,914672,1,9001993613,2018-03-28,
A9001839838,A-5834900,A,1,F,1963-04-26,824274,1,9001839838,2008-07-17,
A8997351614,A-2941993,A,1,M,1976-11-05,342217,1,8997351614,2021-11-19,
A8995724005,A-9533924,A,1,M,1950-08-15,218720,1,8995724005,2005-12-14,
A8990846378,A-5654755,A,1,F,1996-05-24,233296,1,8990846378,2023-04-03,
A8988014768,A-6221360,A,1,M,2015-06-11,825932,1,8988014768,2017-09-19,
A8983700897,A-9273233,A,1,F,1962-07-25,323877,1,8983700897,1980-04-30,
A8978053786,A-7380828,A,1,M,1992-04-25,462170,1,8978053786,2009-06-09,
A8975238355,A-7698928,A,1,M,2022-06-22,980778,1,8975238355,2025-08-19,
L8969262904,A-5415077,A,1,M,1959-01-02,300204,0,8969262904,2015-05-31,
A8952505007,A-7538202,A,0,F,1956-09-13,152432,1,8952505007,1998-08-15,1999-02-18
A8946018991,A-3132039,A,1,M,1957-01-09,786328,1,8946018991,2005-11-10,
A8945476700,A-8016911,A,1,M,2001-08-31,521673,1,8945476700,2006-08-05,
I8945007629,A-3257565,A,1,M,1954-10-13,941261,0,8945007629,2011-11-14,
A8942661188,A-3207887,A,1,M,2017-12-15,238863,1,8942661188,2021-12-18,
A8940253290,A-2488677,A,1,M,1978-06-20,773983,1,8940253290,2004-10-21,
H8933373422,A-4441381,A,1,M,2020-10-12,738845,0,8933373422,2024-10-11,
C8933022018,A-4265495,A,1,M,1959-12-30,165502,0,8933022018,1992-06-25,
A8930150767,A-9616288,A,1,M,2004-04-10,696279,1,8930150767,2017-10-30,
A8927649747,A-8809939,A,1,M,1995-10-18,654552,1,8927649747,2010-10-03,
A8927091807,A-1113330,A,1,M,1970-03-17,296703,1,8927091807,1991-04-03,
A8921412107,A-5786626,A,1,M,2007-03-23,441855,1,8921412107,2008-06-29,
K8920273257,A-6010894,A,1,M,1962-01-30,984766,0,8920273257,2005-01-07,
A8911371813,A-4369368,A,1,M,1959-08-12,552093,1,8911371813,2014-04-29,
A8898986301,A-4323625,A,0,M,1995-01-27,269284,1,8898986301,2021-06-05,2022-01-15
A8898716349,A-3321729,A,1,F,2010-12-13,530509,1,8898716349,2021-03-16,
A8897972210,A-1765702,A,0,F,2016-09-16,400816,1,8897972210,2021-09-05,2023-01-24
A8897197975,A-1126148,A,1,F,2005-09-28,315795,1,8897197975,2012-02-17,
A8890046341,A-4133443,A,1,F,2004-02-24,229306,1,8890046341,2022-06-10,
A8884604020,A-9315030,A,1,M,2020-09-20,246477,1,8884604020,2024-06-18,
A8876803944,A-1781879,A,1,F,2022-07-31,533888,1,8876803944,2028-01-21,
A8871895616,A-1523450,A,0,F,1971-10-23,937219,1,8871895616,2005-12-28,2007-08-06
A8870625089,A-6012649,A,1,M,1988-08-27,501275,1,8870625089,1989-09-02,
A8869959682,A-5685499,A,1,M,2020-09-24,814760,1,8869959682,2022-10-20,
A8866295859,A-6618225,A,0,M,2003-06-16,793608,1,8866295859,2017-05-26,2018-11-01
A8865172036,A-2205487,A,1,F,1992-02-16,919265,1,8865172036,2016-09-09,
A8861193748,A-9395945,A,1,M,1994-02-21,685351,1,8861193748,2017-12-07,
A8860964371,A-1859404,A,1,M,1994-03-19,995959,1,8860964371,1994-12-26,
J8858315919,A-9193286,A,1,M,2011-11-19,641711,0,8858315919,2013-07-01,
A8858065752,A-8003328,A,0,M,1986-04-10,738620,1,8858065752,2006-03-04,2007-10-18
A8858065752,A-3615296,A,1,M,1986-04-10,621394,0,8858065752,1996-10-31,
A8857299111,A-7500036,A,1,F,1995-09-07,382415,1,8857299111,2018-03-19,
A8856073978,A-2640307,A,1,M,2015-02-23,328337,1,8856073978,2020-01-18,
A8854290629,A-7395287,A,1,F,1990-08-21,460023,1,8854290629,2013-07-25,
A8849730806,A-9747896,A,1,M,1995-12-25,973563,1,8849730806,2015-01-08,
A8846717732,A-7372156,A,1,F,1982-06-30,551705,1,8846717732,2008-05-03,
A8845497441,A-9714080,A,1,M,1953-01-10,229835,1,8845497441,1995-05-29,
E8838704312,A-7975637,A,1,M,2001-03-10,136065,0,8838704312,2002-12-10,
A8836543766,A-1127299,A,1,F,1963-07-08,911800,1,8836543766,2022-11-09,
E8832185441,A-1147107,A,1,M,2008-03-26,425213,0,8832185441,2011-07-26,
A8828059053,A-9201408,A,1,M,2019-07-06,316167,1,8828059053,2022-08-13,
