CUSTOMERID,CardAccountNumber,CardNumber,isActive
A-1297169,ZNNR6514,2366-6625-9640-6621,1
A-1302805,HIWX3758,2366-1822-8348-7990,1
A-1308713,RUWG5644,2366-8401-3503-4240,1
A-1308916,QCWW3820,2366-8065-9056-4915,1
A-1314917,VWWM7673,2366-8487-813-7662,1
A-1322489,HKRZ7062,2366-7779-7674-9217,1
A-1325071,XVFG4665,2366-5131-2163-6979,1
A-1342811,MFDH1121,2366-8282-4854-1909,1
A-1349361,XPGB2476,2366-2720-2226-658,1
A-1350598,GAIV6809,2366-3569-3473-5165,1
A-1357062,HMCY2264,2366-9667-5162-8026,1
A-1358003,SRMD8326,2366-3038-7787-9560,1
A-1358770,VAPP5924,2366-1016-7940-463,1
A-1375391,HPZB9581,2366-3464-9477-1905,1
A-1384731,ZJOP1940,2366-2390-6748-890,1
A-1399766,TGZW9077,2366-7929-206-5506,1
A-1400894,LCQI8527,2366-6763-1338-377,1
A-1411314,IDQW8972,2366-7521-7932-1704,1
A-1411746,VTCQ8180,2366-9274-2830-7639,1
A-1416850,XREN6063,2366-2862-1266-3668,1
A-1422755,UHPV1487,2366-602-9687-3936,1
A-1440974,WFHH7040,2366-5594-7594-2977,1
A-1446705,GUBX5647,2366-9646-8392-217,1
A-1451453,TRFC5373,2366-1916-5141-5500,1
A-1459826,DKVW4655,2366-5015-6114-6660,1
A-1462299,WFFF8040,2366-6070-1043-8428,1
A-1466670,NOUO1555,2366-1463-9915-6830,1
A-1472728,EVEV5473,2366-8207-3401-6556,1
A-1474718,RFXY8498,2366-5442-2078-7855,1
A-1478731,WBZB1657,2366-8579-6692-1330,1
A-1504206,GBRG6515,2366-7710-4163-4951,1
A-1507185,AMZJ5437,2366-9577-1668-1535,1
A-1513189,KEGQ6697,2366-2688-4173-3745,1
A-1523450,CFTD3549,2366-6998-2501-4044,1
A-1523740,LUDI3071,2366-9892-7706-8868,1
A-1527723,JEIF3274,2366-7493-2856-3429,1
A-1550126,DRFO5912,2366-9316-8016-6555,1
A-1559407,MTHP4805,2366-7318-6034-5282,1
A-1563306,MLAV4977,2366-9377-3229-5940,1
A-1569860,RNSX5330,2366-9206-4927-3035,1
A-1583494,YWOS5420,2366-2004-8271-7335,1
A-1587223,AJDE9215,2366-9906-7891-2488,1
A-1588759,PVBS8261,2366-5627-2519-5087,1
A-1590729,KPVM5902,2366-3862-2518-5235,1
A-1591602,RRED7849,2366-9360-4617-5418,1
A-1597499,UAVK5344,2366-5340-2940-2946,1
A-1608728,MTKU2761,2366-5138-7974-7790,1
A-1615888,MYPY9536,2366-6407-5875-2490,1
A-1616509,UFPQ9557,2366-5781-5720-6817,1
A-1629052,AOWZ3238,2366-4798-7101-5411,1
A-1641084,DCSR6899,2366-2038-1181-2891,1
A-1642763,AYYH2198,2366-4579-6746-8300,1
A-1647223,WPMZ2945,2366-8884-5331-5166,1
A-1661762,XQEC3127,2366-7463-8719-5735,1
A-1663964,BNRJ8306,2366-2476-3465-7706,1
A-1665402,BOPZ9761,2366-600-7669-8789,1
A-1680372,MXGO4624,2366-6298-8878-1452,1
A-1681125,BCYG8647,2366-9851-8716-2736,1
A-1685510,EFDU2211,2366-6623-3948-9308,1
A-1694053,PNRU2425,2366-2537-3755-118,1
A-1696970,DGTF4190,2366-3580-6485-108,1
A-1697458,QEJK8832,2366-5112-2987-377,1
A-1699518,ICXV6273,2366-911-9580-2131,1
A-1699628,JGVN6278,2366-1327-5636-8829,1
A-1700689,OADV3629,2366-2701-6288-4857,1
A-1700745,BAGG6704,2366-7661-9455-5057,1
A-1715850,JASC8486,2366-3991-5607-2885,1
A-1731615,WSUC8032,2366-344-1867-4751,1
A-1733411,VIJW2176,2366-1125-4361-799,1
A-1735040,RFFJ9230,2366-8120-5123-6006,1
A-1736639,KHEN4582,2366-8915-1653-7859,1
A-1746486,HHLY8719,2366-8705-3079-1938,1
A-1747216,MPET8720,2366-6324-1864-276,1
A-1748593,XBLE6093,2366-1007-4578-4377,1
A-1750316,JXER3743,2366-4019-2674-8595,1
A-1761129,CRUL7797,2366-2508-7691-6680,1
A-1765702,WXKV8523,2366-5362-8599-9375,1
A-1770624,SUVM7755,2366-657-5142-7530,1
A-1771182,YRML3363,2366-284-7578-2553,1
A-1773266,EHIY2696,2366-8735-5027-7986,1
A-1781879,OBVT1506,2366-3564-8677-3713,1
A-1784970,YFUK6885,2366-3896-7221-4419,1
A-1790632,UJTS3198,2366-9782-9896-3352,1
A-1792297,MIAL8200,2366-2074-4653-8042,1
A-1792327,TYJT3366,2366-5644-18-1252,1
A-1792330,HCWV5808,2366-2188-8198-4021,1
A-1797726,OCVD2211,2366-7913-3781-8142,1
A-1802553,ZXYD6737,2366-2175-4490-438,1
A-1807767,TQFM3840,2366-8258-6495-6363,1
A-1818034,TAKU4690,2366-3949-5318-6521,1
A-1825926,ASWW1408,2366-2408-9141-7586,1
A-1827288,QJOY6392,2366-3741-9829-6162,1
A-1839542,YJBR7185,2366-8642-7977-7703,1
A-1846640,MDBB2948,2366-5796-6367-6935,1
A-1859404,LPCP3272,2366-3190-6617-70,1
A-1862602,DEMD8576,2366-3341-4850-6092,1
A-1880828,NFFK2198,2366-2587-4257-9096,1
A-1881103,RGNB7428,2366-1897-597-6769,1
A-1885164,NEGT6432,2366-9162-3595-7922,1
A-1889608,JJLT4266,2366-6956-3345-452,1
A-1891843,RFFE6728,2366-5003-4706-4762,1
A-1906011,ZPLC5276,2366-3777-8794-7574,1
A-1912922,FFIB7759,2366-2376-2079-1246,1
A-1913246,PBKK9152,2366-5041-9705-6419,1
A-1918669,OOBB9589,2366-3620-2692-7637,1
A-1929486,TDHH8858,2366-140-2306-7182,1
A-1949318,WTSY3239,2366-6201-7975-6496,1
A-1950715,GVPR7735,2366-8272-2450-572,1
A-1953920,MMFW7277,2366-5917-8348-8627,1
A-1961126,OUCO7849,2366-8852-7982-4151,1
A-1962049,VLLH5146,2366-6758-2940-1598,1
A-1965604,KKDB2784,2366-9246-690-9447,1
A-1976146,XRLD9007,2366-7520-8256-8711,1
A-1978900,BGDN4747,2366-1822-6965-293,1
A-1983136,QAXI3877,2366-7312-8364-6621,1
A-2001731,KTJA5061,2366-1335-6341-4939,1
A-2029679,JZOT8897,2366-8909-8536-5947,1
A-2043789,LUTU7680,2366-6783-511-7404,1
A-2069643,LZZW4167,2366-2810-8667-773,1
A-2074665,KDSH1984,2366-3242-9992-5589,1
A-2078118,SABA8708,2366-8476-5184-4719,1
A-2079631,ABTN1821,2366-7142-7591-4495,1
A-2101485,PDTU4893,2366-6774-1537-2823,1
A-2104800,ZVXH4358,2366-487-4096-5930,1
A-2120465,TBTQ7789,2366-2475-9079-4480,1
A-2121475,PFCY2247,2366-5886-7488-9205,1
A-2125488,TGWY1931,2366-7481-6099-1559,1
A-2137611,GJNN3577,2366-802-3804-2442,1
A-2144723,LCUK7146,2366-5911-7983-2460,1
A-2157611,HFMH3577,2366-1529-5183-5145,1
A-2159756,HKNA2879,2366-6244-6017-9506,1
A-2159926,DZHU4529,2366-3644-6671-1339,1
A-2166644,ZEPN2002,2366-3478-7406-1834,1
A-2179017,FAZC6162,2366-5783-9434-5283,1
A-2179216,TTBE5627,2366-4214-4246-6465,1
A-2182784,HNBV5196,2366-5201-5639-4975,1
A-2184427,RIIU8098,2366-9475-107-2877,1
A-2194426,ULMO2236,2366-7770-5298-5718,1
A-2205487,UIOJ6411,2366-2725-8464-2186,1
A-2210452,HPWV6600,2366-1094-1080-9763,1
A-2211530,VVAB9305,2366-2037-606-2265,1
A-2211567,FRWQ7766,2366-5363-5765-6168,1
A-2214191,DWKB9049,2366-2254-9344-215,1
A-2214191,DWKB9049,2366-2494-7866-4570,0
A-2216226,URYL8054,2366-9353-9082-3453,1
A-2226744,SUHY2750,2366-1905-829-1950,1
A-2227402,DUAG7984,2366-5848-4302-5765,1
A-2231115,AQUV5511,2366-8543-3479-6182,1
A-2234396,JKHY9046,2366-1143-8519-9912,1
A-2242360,RZPK4738,2366-4758-1026-104,1
A-2247839,QOWN3684,2366-8397-9530-9871,1
A-2264794,LVUX2719,2366-9575-7944-9342,1
A-2265334,RUSI1419,2366-3920-9320-6991,1
A-2273924,QEZQ2245,2366-6255-6623-4119,1
A-2275646,TDDD7601,2366-8022-2088-228,1
A-2278948,DXGE5917,2366-9776-5879-402,1
A-2279017,HPIR8608,2366-9564-9903-4548,1
A-2293481,PICJ9986,2366-8258-6692-8630,1
A-2298156,SNCW6929,2366-9135-1282-1385,1
A-2303832,VMPF4485,2366-701-721-8999,1
A-2310082,ANHE9858,2366-1741-1821-3319,1
A-2313397,ZFBL1954,2366-4838-7086-8855,1
A-2313592,DBDZ9691,2366-3843-529-1839,1
A-2326009,CVTP6221,2366-9938-7783-5202,1
A-2330366,OCDW7668,2366-868-842-5749,1
A-2334154,VHCD9599,2366-4346-7368-3883,1
A-2349903,RBRO4450,2366-8929-1457-5482,1
A-2356378,EDKV5581,2366-805-5575-4108,1
A-2358682,KXGR2916,2366-2927-1939-1915,1
A-2369413,UZMZ9429,2366-7853-4895-950,1
A-2370552,FDYL1807,2366-9678-1094-6649,1
A-2371566,LKTQ6421,2366-9891-5783-1640,1
A-2372363,TOZU4834,2366-5539-3154-1336,1
A-2423722,ZEVC9991,2366-7787-9944-2703,1
A-2426044,VVSC7843,2366-9912-4394-1080,1
A-2427944,ZKYV5071,2366-2887-954-2096,1
A-2430242,LXTO4033,2366-3572-3336-6183,1
A-2430436,BQCT2520,2366-1879-6114-6776,1
A-2442833,LREL1957,2366-2979-4082-1344,1
A-2448082,XJRM7367,2366-7459-583-2965,1
A-2452408,GLEG2082,2366-2528-8794-3521,1
A-2461806,CMEJ2524,2366-4439-3667-9398,1
A-2467182,XOFH3010,2366-6680-1326-6528,1
A-2478456,WGAS5122,2366-7414-9293-4389,1
A-2486341,TZYV4888,2366-9279-3784-1148,1
A-2488677,SAXQ8318,2366-7628-3644-7544,1
A-2491784,SSGX7598,2366-2660-4407-8876,1
A-2497563,AJRD7277,2366-1882-602-1678,1
A-2501660,MMTL4849,2366-5477-9847-7180,1
A-2507136,WZMG4480,2366-4316-7284-2900,1
A-2511531,SYVG3212,2366-9222-9268-5328,1
A-2515875,XYJX5087,2366-8765-1919-8761,1
A-2519503,QVUM4327,2366-8080-9637-6395,1
A-2520369,UKHP6159,2366-8579-8395-5121,1
A-2521628,IBLR6115,2366-6886-5864-6793,1
A-2527126,WWXJ7868,2366-7943-462-3376,1
A-2529910,SGZW2227,2366-4391-4891-4389,1
A-2551239,RLPJ6241,2366-8324-3987-4406,1
A-2565697,LISD2432,2366-4378-3435-4491,1
A-2584613,IHZV8046,2366-2870-9365-2587,1
A-2596191,XGAI5077,2366-7115-8604-2542,1
A-2606328,GGAF7499,2366-4437-9-1404,1
A-2619778,CLTX7844,2366-5337-3276-4105,1
A-2623569,LINV2321,2366-9605-1387-8108,1
A-2628467,QMDH6090,2366-3072-962-7375,1
A-2640307,PCKR3114,2366-6109-670-9555,1
A-2642614,HPYU5617,2366-6031-3371-6585,1
A-2642918,IFBL6277,2366-656-2899-2316,1
A-2646604,TRIQ3517,2366-536-9384-4682,1
A-2674202,XLSL5267,2366-5589-2338-4027,1
A-2674761,TDDK8481,2366-9173-7814-2475,1
A-2689417,ARYF3249,2366-2099-6843-9158,1
A-2693196,VFHR1913,2366-6918-7709-5696,1
A-2702454,FCBJ8584,2366-5637-1675-9230,1
A-2703177,XGRB4662,2366-3094-7423-7914,1
A-2705062,DPZS6717,2366-9921-8475-1274,1
A-2734665,BOLV3459,2366-4046-6008-9362,1
A-2742859,UUAU7180,2366-3603-9503-7999,1
A-2753248,IDWL8316,2366-9381-9331-5037,1
A-2787030,VASI3221,2366-9762-8161-3732,1
A-2791946,QQXC4766,2366-1135-6874-5270,1
A-2800755,XYEH6179,2366-3432-665-8349,1
A-2821775,HCTE1186,2366-606-7507-1121,1
A-2826357,SSNY7549,2366-9391-9693-8546,1
A-2832492,RTCH2571,2366-3771-5669-8843,1
A-2838656,MUAR2305,2366-1353-1879-9712,1
A-2840679,HXAD8681,2366-2748-3223-8042,1
A-2843221,KESC6568,2366-7054-7665-4461,1
A-2844419,STCK3963,2366-7496-9386-2453,1
A-2847160,DJSY7190,2366-8400-7276-2734,1
A-2849640,EIPL4996,2366-1911-5292-1782,1
A-2856629,FJGT1718,2366-7792-5189-5866,1
A-2869216,EYXG6733,2366-5465-1538-9291,1
A-2875343,IDTK6060,2366-8453-8978-455,1
A-2880007,KEJE7496,2366-8794-6126-3816,1
A-2893153,DVLH7228,2366-4333-9716-6731,1
A-2893168,WCKO7729,2366-9149-5670-7789,1
A-2893580,TDMZ9404,2366-2013-2914-5984,1
A-2899078,JEZM5590,2366-2370-847-2952,1
A-2899078,JEZM5590,2366-4086-5381-288,0
A-2909250,XRSC5878,2366-3812-7613-323,1
A-2921415,YSMP4096,2366-7572-646-1965,1
A-2927964,POFK5538,2366-7056-7958-879,1
A-2934468,XIZG1248,2366-1974-8454-6163,1
A-2941993,BEFI3601,2366-4325-8176-5303,1
A-2943240,IOOF9369,2366-9352-459-7828,1
A-2953457,NBCI7795,2366-4894-1905-2726,1
A-2955741,GING1401,2366-6594-580-8177,1
A-2959856,EIBP1741,2366-1126-1075-8592,1
A-2968056,VOLN2365,2366-6974-5300-7619,1
A-2972413,VTZA7716,2366-4939-5964-5755,1
A-2974025,VFHK8049,2366-5329-5104-6917,1
A-2981503,ULQQ3473,2366-5906-1368-7374,1
A-3000107,ZLNO3088,2366-1143-974-3783,1
A-3010525,BUUZ5664,2366-6450-7090-7713,1
A-3022433,CFNE3346,2366-1995-3240-9529,1
A-3035110,JYVQ4383,2366-3019-3885-4388,1
A-3042290,HOHI2195,2366-8930-7720-1368,1
A-3043490,PZBT1202,2366-960-5277-1216,1
A-3059716,MAZP8600,2366-7843-8755-6476,1
A-3068997,GJCA5843,2366-3067-467-1090,1
A-3074857,ORVS6958,2366-5689-8722-4390,1
A-3093664,WXBL4294,2366-4996-2059-5186,1
A-3099569,WYIU3036,2366-3265-1896-4904,1
A-3102607,XSQW5807,2366-5178-1664-2834,1
A-3110620,TOSG5506,2366-6074-2178-4102,1
A-3111218,VRLC7956,2366-5199-7154-918,1
A-3129885,ZJCA7609,2366-4153-4712-2151,1
A-3132039,UMFJ2519,2366-8550-7737-599,1
A-3134986,ANAQ4987,2366-8490-9474-43,1
A-3135076,VYOZ5662,2366-4132-352-1128,1
A-3139188,EEJY6391,2366-8819-7436-6878,1
A-3139317,UYUK4134,2366-9913-9446-5602,1
A-3147421,ZJPZ5041,2366-5738-7510-8267,1
A-3162909,QYRY7908,2366-9043-9116-8410,1
A-3178227,WLLB5285,2366-1189-8913-7085,1
A-3187464,NVLT5241,2366-5415-5624-8230,1
A-3204354,MNLR2241,2366-549-2474-3228,1
A-3207887,YYHK1186,2366-543-9324-1159,1
A-3209911,RBBZ6187,2366-5255-8161-379,1
A-3230588,ZDNO6219,2366-245-5427-5939,1
A-3233321,MQKH5442,2366-9850-2565-9101,1
A-3276083,POBT8121,2366-5184-440-9886,1
A-3276217,XIJA9861,2366-2779-3066-6698,1
A-3278903,QKUD6215,2366-8092-4933-1998,1
A-3286942,LAOY7190,2366-5287-7142-6963,1
A-3289068,HMIT3929,2366-5285-9070-3824,1
A-3292354,KLSA2270,2366-9086-8933-1651,1
A-3292936,CJBY6725,2366-7740-3701-8349,1
A-3294432,CINM1688,2366-805-9151-1212,1
A-3295666,PHLK7073,2366-4924-2015-2594,1
A-3295910,TMPU8582,2366-4510-3718-3370,1
A-3321729,PNAD1941,2366-8727-4947-6216,1
A-3321806,ACAG3017,2366-6074-516-2803,1
A-3324369,KWSN7115,2366-7782-7758-625,1
A-3327025,IWDT3468,2366-8882-6582-7127,1
A-3330943,LANI1629,2366-8261-493-6933,1
A-3336437,OGUX8915,2366-8521-5641-510,1
A-3357490,HPQK3720,2366-1911-6883-6454,1
A-3386244,GPQG6740,2366-9369-4088-9699,1
A-3394421,CTDJ2331,2366-1584-7187-442,1
A-3399425,EBWQ5100,2366-9323-2065-1216,1
A-3402778,VENW4874,2366-841-22-5823,1
A-3414476,RBSV8060,2366-6694-6224-4554,1
A-3417580,VTVV1176,2366-3009-553-5890,1
A-3425299,MVCD5862,2366-9558-6960-9415,1
A-3443714,MFSF2810,2366-7636-3837-3899,1
A-3446826,WKTY8730,2366-4300-1171-115,1
A-3447288,WSGP1818,2366-2587-2921-5174,1
A-3451082,BFYN8895,2366-798-4936-2744,1
A-3451490,QEJS5206,2366-5320-9153-651,1
A-3463768,BOQS5755,2366-674-9297-2224,1
A-3466862,VUGX3023,2366-8733-6550-5037,1
A-3478371,FRVM4839,2366-1668-9261-102,1
A-3488732,OLNN4685,2366-1432-7309-8585,1
A-3493235,NOYC8012,2366-1249-3505-3985,1
A-3496943,XOER1192,2366-3829-1304-6523,1
A-3497584,TVIH2613,2366-6884-9689-5113,1
A-3504779,FMTH5332,2366-4903-8247-9934,1
A-3507774,TBYO2913,2366-3158-8660-6298,1
A-3512134,FEZD4536,2366-3055-96-1249,1
A-3530978,XAPN5665,2366-9865-724-9665,1
A-3537891,SAXF8230,2366-776-5580-9113,1
A-3544862,VZEM8263,2366-4862-2370-598,1
A-3553626,ZNWD5834,2366-3492-9908-7768,1
A-3561975,FHDY4067,2366-4742-4019-3807,1
A-3571649,XHXG6694,2366-6121-9529-2077,1
A-3576463,VJKB2619,2366-3284-3527-9737,1
A-3585231,GXDO9806,2366-8202-4588-7863,1
A-3591796,MSNE4716,2366-971-114-8901,1
A-3600808,OBYM4361,2366-6855-7795-2784,1
A-3602101,KAVP6504,2366-6599-1260-198,1
A-3609789,WFGM6936,2366-1186-22-8121,1
A-3615296,CTXT9839,2366-9962-6618-1217,1
A-3623401,DEFQ8281,2366-7078-3428-6004,1
A-3642184,ZWUK7617,2366-5585-5356-769,1
A-3653951,BZAF1201,2366-1075-3505-7638,1
A-3656123,OZKL3385,2366-3156-1632-2168,1
A-3662675,IRCY5469,2366-4318-8696-4911,1
A-3666369,NPWN9724,2366-5924-9502-6030,1
A-3672478,QGGC4550,2366-6435-4979-5725,1
A-3676105,HYXB3704,2366-504-4184-4318,1
A-3685437,UARU1583,2366-4388-3486-9506,1
A-3687457,HCIV7395,2366-7206-6544-5480,1
A-3688758,VETL8370,2366-8885-4580-4246,1
A-3693089,JOSV4757,2366-4793-3293-6499,1
A-3707344,SCEV7522,2366-3776-1847-2552,1
A-3732390,CQNW7948,2366-2102-2394-8217,1
A-3733535,VSLW5465,2366-930-9938-9481,1
A-3755690,BYMJ9942,2366-5024-4146-9461,1
A-3760279,SZEZ2627,2366-8431-9636-4587,1
A-3769713,PVLT8446,2366-8336-673-8505,1
A-3770000,QWPX5004,2366-8814-8827-7014,1
A-3786936,DBRD7487,2366-2227-5771-1704,1
A-3793127,LTDH3361,2366-9232-2891-3405,1
A-3797193,QAIU3106,2366-5473-2591-6787,1
A-3802858,JGWY7133,2366-9303-9968-8062,1
A-3805049,MMCL9802,2366-6282-2359-4582,1
A-3807988,HQSQ9017,2366-4689-3993-3170,1
A-3811031,ZOBJ8393,2366-6029-2800-7102,1
A-3814388,OFBW9401,2366-7667-8181-2320,1
A-3817775,JVOQ3442,2366-7273-3970-8862,1
A-3826120,UAAO6749,2366-1416-7361-4085,1
A-3837125,DPYU7270,2366-68-9876-1888,1
A-3837276,TQEY6099,2366-2168-729-1964,1
A-3843510,KXKJ5344,2366-8397-1068-6691,1
A-3848063,YMVK6706,2366-5575-4153-244,1
A-3848410,GWFK5368,2366-6374-5706-219,1
A-3860844,PVKY9852,2366-6109-6170-136,1
A-3866232,WCRF2651,2366-4737-7540-2812,1
A-3876958,ZING9555,2366-4161-2733-8631,1
A-3888581,SWYB5761,2366-7571-8857-2807,1
A-3892529,JMDZ3027,2366-1244-5819-1219,1
A-3892754,HFNB1733,2366-2870-7425-9365,1
A-3894034,GKMD4643,2366-1267-9260-6215,1
A-3905594,HXNH6139,2366-5106-5955-4788,1
A-3916270,VAOT5171,2366-8662-3947-1313,1
A-3925552,HGPY5417,2366-7853-4298-4351,1
A-3929008,SBBV1519,2366-3273-15-8237,1
A-3930021,JJZS6745,2366-5025-8903-8330,1
A-3931844,RHEO1584,2366-5002-9994-2292,1
A-3940814,NLVW2486,2366-2189-6220-1566,1
A-3949718,JIMH2586,2366-1521-8831-2647,1
A-3955873,SWJZ7817,2366-5255-52-6925,1
A-3963281,RZLA1714,2366-2126-3781-640,1
A-3963727,MYVD8369,2366-9801-2612-694,1
A-3964328,JBSM4519,2366-1120-8077-4761,1
A-3966936,QCWJ3795,2366-3514-1363-9943,1
A-3983108,WMYD6961,2366-7182-1714-6217,1
A-3984160,AAKM4527,2366-1430-1633-8188,1
A-4001051,SNVL7971,2366-5829-741-5503,1
A-4002518,COYG4696,2366-6403-7880-2715,1
A-4007381,PKDG3197,2366-5124-6053-4398,1
A-4019735,CCMH4483,2366-3994-1347-494,1
A-4032692,LFUD6231,2366-3381-7142-4989,1
A-4035166,WYRT1330,2366-3054-7376-9537,1
A-4043670,PXTO6162,2366-7849-2714-8329,1
A-4049578,PBJD3070,2366-7636-1877-1745,1
A-4058926,IPFC7133,2366-2006-440-3272,1
A-4073967,HIAZ5140,2366-1162-7009-2520,1
A-4079277,PAYJ5572,2366-7161-8816-5226,1
A-4081375,LCHD7790,2366-158-843-4127,1
A-4081797,LLKG5022,2366-2485-9028-2814,1
A-4091693,LSQK9538,2366-5707-2307-5602,1
A-4113408,VSSY7825,2366-5452-7616-9902,1
A-4119174,XHSO4047,2366-6341-65-3003,1
A-4126173,QLTX6286,2366-3406-5840-7530,1
A-4128633,GHFG4919,2366-4008-5484-321,1
A-4133443,DFPR1548,2366-4528-9331-5029,1
A-4143906,OJHW9772,2366-3332-3315-7952,1
A-4158603,QMBV6859,2366-4568-4225-9928,1
A-4165839,BRIN2266,2366-3075-1502-6778,1
A-4173039,UPRS9476,2366-8054-3468-2030,1
A-4178317,NLZH5137,2366-5569-5018-7697,1
A-4181009,SUIS4350,2366-540-8482-6312,1
A-4186763,WZBD6933,2366-8139-5306-1415,1
A-4192767,JEGL5197,2366-2738-4140-2179,1
A-4200558,VOKY7433,2366-8548-7262-8314,1
A-4211677,PEDT7195,2366-8653-4273-4942,1
A-4222043,CQBO8063,2366-7744-5202-4361,1
A-4234737,EJDA8911,2366-6925-3476-7013,1
A-4234887,KTHS6936,2366-2087-4066-7785,1
A-4238241,AVIH5895,2366-1484-2937-7038,1
A-4243712,IUWT9066,2366-1187-432-7487,1
A-4247542,LWJE6129,2366-8824-1735-2007,1
A-4253236,PKQP1676,2366-5125-9460-5358,1
A-4265495,IZNW5400,2366-5830-7039-7351,1
A-4265495,IZNW5400,2366-8855-6748-3529,0
A-4283697,BQLO1602,2366-2325-6009-1998,1
A-4284801,WAUK3415,2366-9415-4020-372,1
A-4288896,DMXY3223,2366-1273-3679-5879,1
A-4303019,FZZY8736,2366-7786-8374-5848,1
A-4317659,FYDO8681,2366-1349-96-9700,1
A-4319794,CJND3312,2366-7015-9607-5777,1
A-4320674,AZZV5549,2366-428-4461-8623,1
A-4323625,IEVA2929,2366-397-1347-2775,1
A-4335059,IMAK9153,2366-3626-4542-4507,1
A-4341703,NYTZ6167,2366-4702-4828-2936,1
A-4341703,NYTZ6167,2366-7908-3699-9210,0
A-4341756,LNAV9291,2366-2823-6022-5936,1
A-4343495,RLCA5913,2366-2161-8504-269,1
A-4348392,AJPZ9970,2366-162-7620-5717,1
A-4357137,GGKA7496,2366-7898-6172-1588,1
A-4359541,RKZY5719,2366-9100-2304-53,1
A-4361828,TLHI4948,2366-2456-9772-7733,1
A-4369368,YAPE9017,2366-8168-8253-8009,1
A-4383920,QFZW9318,2366-4746-7157-1935,1
A-4389676,AOIY8418,2366-7810-5979-7802,1
A-4410270,RKVI7770,2366-2764-2961-1679,1
A-4416348,MWAZ2729,2366-1436-1289-6457,1
A-4417192,RFLU1759,2366-7786-615-4931,1
A-4417716,JLFU6018,2366-6100-6603-6551,1
A-4418034,RTWM7555,2366-8695-5810-6255,1
A-4441381,GTVF8391,2366-7757-8858-8306,1
A-4450925,ISNJ6039,2366-98-3316-6767,1
A-4465367,AFES1611,2366-8195-6969-1530,1
A-4470532,JNJH7912,2366-9057-5479-3621,1
A-4472276,XQWF2457,2366-51-6479-8672,1
A-4487284,BWJI1577,2366-5807-7716-5052,1
A-4500620,QIAO8937,2366-3291-962-2765,1
A-4514326,OTAG8225,2366-3933-4350-9195,1
A-4529465,JRZY3597,2366-4557-8232-7018,1
A-4549557,ZBDW9524,2366-2696-8321-8245,1
A-4557381,AMDY6869,2366-1016-8485-693,1
A-4561501,RSWE2991,2366-3741-2663-2490,1
A-4596730,ZDBJ2170,2366-8245-8736-4885,1
A-4600160,ZMXJ6057,2366-7175-2782-689,1
A-4601472,RMLE5874,2366-8224-8800-3118,1
A-4605655,JLZJ1955,2366-3154-9090-9663,1
A-4607767,ASAK9748,2366-7071-6877-6086,1
A-4613605,ILXD5127,2366-4935-7730-2848,1
A-4615655,VPCU1945,2366-4118-4012-7987,1
A-4616384,QWDI8720,2366-4990-4848-6927,1
A-4628213,LYHU7972,2366-1928-6441-2672,1
A-4630932,UOGK4965,2366-9565-3191-1128,1
A-4639671,TDKF2565,2366-9929-2636-5257,1
A-4639799,IVJE7930,2366-5499-5105-8607,1
A-4641658,HSLJ5156,2366-1904-3580-2219,1
A-4651929,LIEW6971,2366-1827-5334-8517,1
A-4659141,KWRM6635,2366-3835-3576-9821,1
A-4667913,JIQW4246,2366-2385-511-5002,1
A-4685610,DTKQ9091,2366-5182-2988-5830,1
A-4693078,HHQG9927,2366-4799-9541-9548,1
